variable,description
e_v2x_elecoff_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Elected officials index (D). Measures if executive and legislature are selected via popular elections. Formula: hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2). (If HOS is directly elected and chief executive: [hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2) + b] / 2), where a = HOS directly elected (1) or not (0), b = legislature popularly elected, c1 = HOS appointed by legislature (1 or 0), c2 = HOG appointed by legislature (1 or 0), d = HOG appointed by HOS, e = HOG directly elected."
e_v2x_elecoff_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Elected officials index (D). Measures if executive and legislature are selected via popular elections. Formula: hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2). (If HOS is directly elected and chief executive: [hosw * max(a, b * c1) + hogw * max(a * d, b * c1 * d, e, b * c2) + b] / 2), where a = HOS directly elected (1) or not (0), b = legislature popularly elected, c1 = HOS appointed by legislature (1 or 0), c2 = HOG appointed by legislature (1 or 0), d = HOG appointed by HOS, e = HOG directly elected."
v2x_liberal,"Index estimate (Point Estimate, Median value) - Liberal component index (D). Straight average of three liberal sub-components. Formula: (v2xcl_rol + v2x_jucon + v2xlg_legcon) / 3. (Note: v2xlg_legcon is set to 0 if legislature v2lgbicam is 0)."
v2x_liberal_codelow,Lower bound (HPD Interval 68/70%) - Liberal component index (D). Straight average of three liberal sub-components. Formula: (v2xcl_rol + v2x_jucon + v2xlg_legcon) / 3. (Note: v2xlg_legcon is set to 0 if legislature v2lgbicam is 0).
v2x_liberal_codehigh,Upper bound (HPD Interval 68/70%) - Liberal component index (D). Straight average of three liberal sub-components. Formula: (v2xcl_rol + v2x_jucon + v2xlg_legcon) / 3. (Note: v2xlg_legcon is set to 0 if legislature v2lgbicam is 0).
v2x_liberal_sd,Standard deviation of the posterior distribution - Liberal component index (D). Straight average of three liberal sub-components. Formula: (v2xcl_rol + v2x_jucon + v2xlg_legcon) / 3. (Note: v2xlg_legcon is set to 0 if legislature v2lgbicam is 0).
e_v2x_liberal_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Liberal component index (D). Straight average of three liberal sub-components. Formula: (v2xcl_rol + v2x_jucon + v2xlg_legcon) / 3. (Note: v2xlg_legcon is set to 0 if legislature v2lgbicam is 0)."
e_v2x_liberal_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Liberal component index (D). Straight average of three liberal sub-components. Formula: (v2xcl_rol + v2x_jucon + v2xlg_legcon) / 3. (Note: v2xlg_legcon is set to 0 if legislature v2lgbicam is 0)."
e_v2x_liberal_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Liberal component index (D). Straight average of three liberal sub-components. Formula: (v2xcl_rol + v2x_jucon + v2xlg_legcon) / 3. (Note: v2xlg_legcon is set to 0 if legislature v2lgbicam is 0)."
v2xcl_rol,"Equality before the law and individual liberty index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from rigorous administration (v2clrspct), transparent laws (v2cltrnslw), access to justice (v2clacjstm/w), property rights (v2clprptym/w), freedom from torture (v2cltort), political killings (v2clkill), forced labor (v2clslavem/f), religion (v2clrelig), foreign movement (v2clfmove), and domestic movement (v2cldmovem/w)."
v2xcl_rol_codelow,"Lower bound (HPD Interval 68/70%) - Equality before the law and individual liberty index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from rigorous administration (v2clrspct), transparent laws (v2cltrnslw), access to justice (v2clacjstm/w), property rights (v2clprptym/w), freedom from torture (v2cltort), political killings (v2clkill), forced labor (v2clslavem/f), religion (v2clrelig), foreign movement (v2clfmove), and domestic movement (v2cldmovem/w)."
v2xcl_rol_codehigh,"Upper bound (HPD Interval 68/70%) - Equality before the law and individual liberty index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from rigorous administration (v2clrspct), transparent laws (v2cltrnslw), access to justice (v2clacjstm/w), property rights (v2clprptym/w), freedom from torture (v2cltort), political killings (v2clkill), forced labor (v2clslavem/f), religion (v2clrelig), foreign movement (v2clfmove), and domestic movement (v2cldmovem/w)."
v2xcl_rol_sd,"Standard deviation of the posterior distribution - Equality before the law and individual liberty index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from rigorous administration (v2clrspct), transparent laws (v2cltrnslw), access to justice (v2clacjstm/w), property rights (v2clprptym/w), freedom from torture (v2cltort), political killings (v2clkill), forced labor (v2clslavem/f), religion (v2clrelig), foreign movement (v2clfmove), and domestic movement (v2cldmovem/w)."
e_v2xcl_rol_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Equality before the law and individual liberty index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from rigorous administration (v2clrspct), transparent laws (v2cltrnslw), access to justice (v2clacjstm/w), property rights (v2clprptym/w), freedom from torture (v2cltort), political killings (v2clkill), forced labor (v2clslavem/f), religion (v2clrelig), foreign movement (v2clfmove), and domestic movement (v2cldmovem/w)."
e_v2xcl_rol_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Equality before the law and individual liberty index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from rigorous administration (v2clrspct), transparent laws (v2cltrnslw), access to justice (v2clacjstm/w), property rights (v2clprptym/w), freedom from torture (v2cltort), political killings (v2clkill), forced labor (v2clslavem/f), religion (v2clrelig), foreign movement (v2clfmove), and domestic movement (v2cldmovem/w)."
e_v2xcl_rol_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Equality before the law and individual liberty index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from rigorous administration (v2clrspct), transparent laws (v2cltrnslw), access to justice (v2clacjstm/w), property rights (v2clprptym/w), freedom from torture (v2cltort), political killings (v2clkill), forced labor (v2clslavem/f), religion (v2clrelig), foreign movement (v2clfmove), and domestic movement (v2cldmovem/w)."
v2x_jucon,"Index estimate (Point Estimate, Median value) - Judicial constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from executive respects constitution (v2exrescon), compliance with judiciary (v2jucomp), compliance with high court (v2juhccomp), high court independence (v2juhcind), and lower court independence (v2juncind)."
v2x_jucon_codelow,"Lower bound (HPD Interval 68/70%) - Judicial constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from executive respects constitution (v2exrescon), compliance with judiciary (v2jucomp), compliance with high court (v2juhccomp), high court independence (v2juhcind), and lower court independence (v2juncind)."
v2x_jucon_codehigh,"Upper bound (HPD Interval 68/70%) - Judicial constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from executive respects constitution (v2exrescon), compliance with judiciary (v2jucomp), compliance with high court (v2juhccomp), high court independence (v2juhcind), and lower court independence (v2juncind)."
v2x_jucon_sd,"Standard deviation of the posterior distribution - Judicial constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from executive respects constitution (v2exrescon), compliance with judiciary (v2jucomp), compliance with high court (v2juhccomp), high court independence (v2juhcind), and lower court independence (v2juncind)."
e_v2x_jucon_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Judicial constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from executive respects constitution (v2exrescon), compliance with judiciary (v2jucomp), compliance with high court (v2juhccomp), high court independence (v2juhcind), and lower court independence (v2juncind)."
e_v2x_jucon_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Judicial constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from executive respects constitution (v2exrescon), compliance with judiciary (v2jucomp), compliance with high court (v2juhccomp), high court independence (v2juhcind), and lower court independence (v2juncind)."
e_v2x_jucon_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Judicial constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from executive respects constitution (v2exrescon), compliance with judiciary (v2jucomp), compliance with high court (v2juhccomp), high court independence (v2juhcind), and lower court independence (v2juncind)."
v2xlg_legcon,"Legislative constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from legislature questions officials (v2lgqstexp), executive oversight (v2lgotovst), legislature investigates (v2lginvstp), and legislative opposition parties (v2lgoppart)."
v2xlg_legcon_codelow,"Lower bound (HPD Interval 68/70%) - Legislative constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from legislature questions officials (v2lgqstexp), executive oversight (v2lgotovst), legislature investigates (v2lginvstp), and legislative opposition parties (v2lgoppart)."
v2xlg_legcon_codehigh,"Upper bound (HPD Interval 68/70%) - Legislative constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from legislature questions officials (v2lgqstexp), executive oversight (v2lgotovst), legislature investigates (v2lginvstp), and legislative opposition parties (v2lgoppart)."
v2xlg_legcon_sd,"Standard deviation of the posterior distribution - Legislative constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from legislature questions officials (v2lgqstexp), executive oversight (v2lgotovst), legislature investigates (v2lginvstp), and legislative opposition parties (v2lgoppart)."
e_v2xlg_legcon_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Legislative constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from legislature questions officials (v2lgqstexp), executive oversight (v2lgotovst), legislature investigates (v2lginvstp), and legislative opposition parties (v2lgoppart)."
e_v2xlg_legcon_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Legislative constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from legislature questions officials (v2lgqstexp), executive oversight (v2lgotovst), legislature investigates (v2lginvstp), and legislative opposition parties (v2lgoppart)."
e_v2xlg_legcon_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Legislative constraints on the executive index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from legislature questions officials (v2lgqstexp), executive oversight (v2lgotovst), legislature investigates (v2lginvstp), and legislative opposition parties (v2lgoppart)."
v2x_partip,"Index estimate (Point Estimate, Median value) - Participatory component index (D). Straight average of three participatory sub-components. Formula: (v2x_cspart + max(v2xel_locelec, v2xel_regelec) + v2xdd_dd) / 3."
v2x_partip_codelow,"Lower bound (HPD Interval 68/70%) - Participatory component index (D). Straight average of three participatory sub-components. Formula: (v2x_cspart + max(v2xel_locelec, v2xel_regelec) + v2xdd_dd) / 3."
v2x_partip_codehigh,"Upper bound (HPD Interval 68/70%) - Participatory component index (D). Straight average of three participatory sub-components. Formula: (v2x_cspart + max(v2xel_locelec, v2xel_regelec) + v2xdd_dd) / 3."
v2x_partip_sd,"Standard deviation of the posterior distribution - Participatory component index (D). Straight average of three participatory sub-components. Formula: (v2x_cspart + max(v2xel_locelec, v2xel_regelec) + v2xdd_dd) / 3."
e_v2x_partip_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Participatory component index (D). Straight average of three participatory sub-components. Formula: (v2x_cspart + max(v2xel_locelec, v2xel_regelec) + v2xdd_dd) / 3."
e_v2x_partip_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Participatory component index (D). Straight average of three participatory sub-components. Formula: (v2x_cspart + max(v2xel_locelec, v2xel_regelec) + v2xdd_dd) / 3."
e_v2x_partip_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Participatory component index (D). Straight average of three participatory sub-components. Formula: (v2x_cspart + max(v2xel_locelec, v2xel_regelec) + v2xdd_dd) / 3."
v2x_cspart,"Index estimate (Point Estimate, Median value) - Civil society participation index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from candidate selection centrality (v2pscnslnl), CSO consultation (v2cscnsult), CSO participatory environment (v2csprtcpt), and CSO women's participation (v2csgender)."
v2x_cspart_codelow,"Lower bound (HPD Interval 68/70%) - Civil society participation index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from candidate selection centrality (v2pscnslnl), CSO consultation (v2cscnsult), CSO participatory environment (v2csprtcpt), and CSO women's participation (v2csgender)."
v2x_cspart_codehigh,"Upper bound (HPD Interval 68/70%) - Civil society participation index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from candidate selection centrality (v2pscnslnl), CSO consultation (v2cscnsult), CSO participatory environment (v2csprtcpt), and CSO women's participation (v2csgender)."
v2x_cspart_sd,"Standard deviation of the posterior distribution - Civil society participation index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from candidate selection centrality (v2pscnslnl), CSO consultation (v2cscnsult), CSO participatory environment (v2csprtcpt), and CSO women's participation (v2csgender)."
e_v2x_cspart_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Civil society participation index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from candidate selection centrality (v2pscnslnl), CSO consultation (v2cscnsult), CSO participatory environment (v2csprtcpt), and CSO women's participation (v2csgender)."
e_v2x_cspart_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Civil society participation index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from candidate selection centrality (v2pscnslnl), CSO consultation (v2cscnsult), CSO participatory environment (v2csprtcpt), and CSO women's participation (v2csgender)."
e_v2x_cspart_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Civil society participation index (D). Aggregated using Bayesian Factor Analysis (BFA) point estimates from candidate selection centrality (v2pscnslnl), CSO consultation (v2cscnsult), CSO participatory environment (v2csprtcpt), and CSO women's participation (v2csgender)."
v2xdd_dd,Direct popular vote index (D). Weighted sum of four direct democracy sub-indices. Formula: ((v2xdd_i_ci) * 1.5 + (v2xdd_i_rf) * 1.5 + v2xdd_i_pl + v2xdd_i_or) / 8 (normalized to 0-1 range).
v2xdd_dd_codelow,Lower bound (HPD Interval 68/70%) - Direct popular vote index (D). Weighted sum of four direct democracy sub-indices. Formula: ((v2xdd_i_ci) * 1.5 + (v2xdd_i_rf) * 1.5 + v2xdd_i_pl + v2xdd_i_or) / 8 (normalized to 0-1 range).
v2xdd_dd_codehigh,Upper bound (HPD Interval 68/70%) - Direct popular vote index (D). Weighted sum of four direct democracy sub-indices. Formula: ((v2xdd_i_ci) * 1.5 + (v2xdd_i_rf) * 1.5 + v2xdd_i_pl + v2xdd_i_or) / 8 (normalized to 0-1 range).
v2xdd_dd_sd,Standard deviation of the posterior distribution - Direct popular vote index (D). Weighted sum of four direct democracy sub-indices. Formula: ((v2xdd_i_ci) * 1.5 + (v2xdd_i_rf) * 1.5 + v2xdd_i_pl + v2xdd_i_or) / 8 (normalized to 0-1 range).
e_v2xdd_dd_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Direct popular vote index (D). Weighted sum of four direct democracy sub-indices. Formula: ((v2xdd_i_ci) * 1.5 + (v2xdd_i_rf) * 1.5 + v2xdd_i_pl + v2xdd_i_or) / 8 (normalized to 0-1 range)."
e_v2xdd_dd_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Direct popular vote index (D). Weighted sum of four direct democracy sub-indices. Formula: ((v2xdd_i_ci) * 1.5 + (v2xdd_i_rf) * 1.5 + v2xdd_i_pl + v2xdd_i_or) / 8 (normalized to 0-1 range)."
